172.20.0.1 - - [02/Oct/2024:16:48:12 +0000] "GET /bootstrap/bootstrap.bundle.min.js HTTP/1.1" 404 6622 "http://localhost:81/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.20.0.1 - - [02/Oct/2024:16:48:12 +0000] "GET /bootstrap/bootstrap.min.css HTTP/1.1" 404 6622 "http://localhost:81/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.20.0.1 - - [02/Oct/2024:16:48:13 +0000] "GET /vendor/chart.js HTTP/1.1" 404 6622 "http://localhost:81/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.20.0.1 - - [02/Oct/2024:16:48:14 +0000] "GET /vendor/jquery-3.6.0.min.js HTTP/1.1" 404 6622 "http://localhost:81/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.20.0.1 - - [02/Oct/2024:16:48:16 +0000] "GET /storage/assets/logo_footer.png HTTP/1.1" 404 6622 "http://localhost:81/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.20.0.1 - - [02/Oct/2024:16:48:16 +0000] "GET /vendor/chart.js HTTP/1.1" 404 6622 "http://localhost:81/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.20.0.1 - - [02/Oct/2024:16:48:16 +0000] "GET /storage/assets/logo_header.png HTTP/1.1" 404 6616 "http://localhost:81/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.20.0.1 - - [02/Oct/2024:16:48:18 +0000] "GET /js/fp.min.js HTTP/1.1" 404 6622 "http://localhost:81/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.20.0.1 - - [02/Oct/2024:16:48:19 +0000] "GET /storage/assets/web_icon.png HTTP/1.1" 404 6622 "http://localhost:81/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.20.0.1 - - [02/Oct/2024:16:48:20 +0000] "GET /bootstrap/bootstrap.bundle.min.js HTTP/1.1" 404 6622 "http://localhost:81/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
